INFO - asvspoof19 - Running command 'main'
INFO - asvspoof19 - Started run with ID "24"
squeeze-and-excitation network
===> Model total parameter: 1344276
Epoch: [1][0/844]	Time 6.460 (6.460)	Data 2.600 (2.600)	LR 0.000004	Loss 0.8044 (0.8044)	Acc@1 1.953 (1.953)
Test: [9800/134730]	Time 0.015 (0.023)	Loss 0.1979 (0.4023)	Acc@1 100.000 (86.447)
Test: [9900/134730]	Time 0.017 (0.023)	Loss 0.1873 (0.4033)	Acc@1 100.000 (86.387)
Test: [10000/134730]	Time 0.035 (0.023)	Loss 0.1882 (0.4040)	Acc@1 100.000 (86.345)
Test: [10100/134730]	Time 0.016 (0.023)	Loss 0.1670 (0.4047)	Acc@1 100.000 (86.301)
Test: [10200/134730]	Time 0.018 (0.023)	Loss 0.2001 (0.4058)	Acc@1 100.000 (86.236)
Test: [10300/134730]	Time 0.024 (0.023)	Loss 0.1742 (0.4045)	Acc@1 100.000 (86.308)
Test: [10400/134730]	Time 0.026 (0.023)	Loss 0.2128 (0.4048)	Acc@1 100.000 (86.295)
Test: [10500/134730]	Time 0.016 (0.023)	Loss 0.1745 (0.4045)	Acc@1 100.000 (86.313)
Test: [10600/134730]	Time 0.014 (0.023)	Loss 0.1945 (0.4039)	Acc@1 100.000 (86.352)
Test: [10700/134730]	Time 0.017 (0.023)	Loss 0.2057 (0.4034)	Acc@1 100.000 (86.384)
Test: [10800/134730]	Time 0.015 (0.023)	Loss 0.1604 (0.4031)	Acc@1 100.000 (86.398)
Test: [10900/134730]	Time 0.015 (0.023)	Loss 1.9737 (0.4020)	Acc@1 0.000 (86.466)
Test: [11000/134730]	Time 0.063 (0.023)	Loss 1.9195 (0.4022)	Acc@1 0.000 (86.457)
Test: [11100/134730]	Time 0.029 (0.023)	Loss 0.2041 (0.4016)	Acc@1 100.000 (86.487)
Test: [11200/134730]	Time 0.017 (0.023)	Loss 1.7674 (0.4010)	Acc@1 0.000 (86.517)
Test: [11300/134730]	Time 0.015 (0.023)	Loss 0.1883 (0.4011)	Acc@1 100.000 (86.515)
Test: [11400/134730]	Time 0.016 (0.023)	Loss 0.1531 (0.4004)	Acc@1 100.000 (86.557)
Test: [11500/134730]	Time 0.022 (0.023)	Loss 1.8071 (0.3998)	Acc@1 0.000 (86.590)
Test: [11600/134730]	Time 0.015 (0.023)	Loss 0.1549 (0.4004)	Acc@1 100.000 (86.547)
Test: [11700/134730]	Time 0.044 (0.023)	Loss 0.1619 (0.3998)	Acc@1 100.000 (86.579)
Test: [11800/134730]	Time 0.018 (0.023)	Loss 0.2060 (0.3998)	Acc@1 100.000 (86.577)
Test: [11900/134730]	Time 0.017 (0.023)	Loss 0.1739 (0.4013)	Acc@1 100.000 (86.491)
Test: [12000/134730]	Time 0.025 (0.023)	Loss 0.1755 (0.4007)	Acc@1 100.000 (86.520)
Test: [12100/134730]	Time 0.015 (0.023)	Loss 0.2143 (0.4008)	Acc@1 100.000 (86.517)
Test: [12200/134730]	Time 0.016 (0.023)	Loss 0.1823 (0.4013)	Acc@1 100.000 (86.490)
Test: [12300/134730]	Time 0.018 (0.023)	Loss 0.1720 (0.4015)	Acc@1 100.000 (86.473)
Test: [12400/134730]	Time 0.025 (0.023)	Loss 0.1894 (0.4016)	Acc@1 100.000 (86.469)
Test: [12500/134730]	Time 0.018 (0.023)	Loss 0.1545 (0.4008)	Acc@1 100.000 (86.512)
Test: [12600/134730]	Time 0.044 (0.023)	Loss 0.1828 (0.4006)	Acc@1 100.000 (86.527)
Test: [12700/134730]	Time 0.030 (0.023)	Loss 0.1529 (0.4015)	Acc@1 100.000 (86.470)
Test: [12800/134730]	Time 0.014 (0.023)	Loss 0.1992 (0.4012)	Acc@1 100.000 (86.487)
Test: [12900/134730]	Time 0.017 (0.023)	Loss 0.1792 (0.4015)	Acc@1 100.000 (86.469)
Test: [13000/134730]	Time 0.015 (0.023)	Loss 1.7182 (0.4025)	Acc@1 0.000 (86.408)
Test: [13100/134730]	Time 0.032 (0.023)	Loss 1.8618 (0.4027)	Acc@1 0.000 (86.394)
Test: [13200/134730]	Time 0.028 (0.023)	Loss 0.2018 (0.4016)	Acc@1 100.000 (86.463)
Test: [13300/134730]	Time 0.015 (0.023)	Loss 0.1628 (0.4010)	Acc@1 100.000 (86.497)
Test: [13400/134730]	Time 0.015 (0.023)	Loss 0.1883 (0.4017)	Acc@1 100.000 (86.452)
Test: [13500/134730]	Time 0.015 (0.023)	Loss 0.1543 (0.4019)	Acc@1 100.000 (86.443)
Test: [13600/134730]	Time 0.015 (0.023)	Loss 0.2447 (0.4019)	Acc@1 100.000 (86.444)
Test: [13700/134730]	Time 0.054 (0.023)	Loss 0.1516 (0.4016)	Acc@1 100.000 (86.461)
Test: [13800/134730]	Time 0.016 (0.023)	Loss 0.2102 (0.4009)	Acc@1 100.000 (86.502)
Test: [13900/134730]	Time 0.015 (0.023)	Loss 0.1716 (0.4002)	Acc@1 100.000 (86.547)
Test: [14000/134730]	Time 0.028 (0.023)	Loss 0.1758 (0.4008)	Acc@1 100.000 (86.507)
Test: [14100/134730]	Time 0.018 (0.023)	Loss 0.1947 (0.4008)	Acc@1 100.000 (86.504)
Test: [14200/134730]	Time 0.019 (0.023)	Loss 1.8291 (0.4005)	Acc@1 0.000 (86.522)
Test: [14300/134730]	Time 0.017 (0.023)	Loss 0.1853 (0.4012)	Acc@1 100.000 (86.483)
Test: [14400/134730]	Time 0.015 (0.023)	Loss 0.1623 (0.4013)	Acc@1 100.000 (86.472)
Test: [14500/134730]	Time 0.026 (0.023)	Loss 0.1460 (0.4018)	Acc@1 100.000 (86.443)
Test: [14600/134730]	Time 0.027 (0.023)	Loss 0.1848 (0.4016)	Acc@1 100.000 (86.455)
Test: [14700/134730]	Time 0.034 (0.023)	Loss 0.1921 (0.4011)	Acc@1 100.000 (86.481)
Test: [14800/134730]	Time 0.015 (0.023)	Loss 0.1830 (0.4008)	Acc@1 100.000 (86.499)
Test: [14900/134730]	Time 0.025 (0.023)	Loss 0.1778 (0.4005)	Acc@1 100.000 (86.521)
Test: [15000/134730]	Time 0.033 (0.023)	Loss 0.1523 (0.4005)	Acc@1 100.000 (86.523)
Test: [15100/134730]	Time 0.035 (0.023)	Loss 0.1520 (0.4003)	Acc@1 100.000 (86.535)
Test: [15200/134730]	Time 0.026 (0.023)	Loss 1.8223 (0.4011)	Acc@1 0.000 (86.481)
Test: [15300/134730]	Time 0.035 (0.023)	Loss 0.1547 (0.4015)	Acc@1 100.000 (86.458)
Test: [15400/134730]	Time 0.019 (0.023)	Loss 0.1605 (0.4015)	Acc@1 100.000 (86.459)
Test: [15500/134730]	Time 0.015 (0.023)	Loss 0.1893 (0.4014)	Acc@1 100.000 (86.471)
Test: [15600/134730]	Time 0.015 (0.023)	Loss 0.1604 (0.4014)	Acc@1 100.000 (86.466)
Test: [15700/134730]	Time 0.017 (0.023)	Loss 1.8113 (0.4011)	Acc@1 0.000 (86.482)
Test: [15800/134730]	Time 0.015 (0.023)	Loss 0.1716 (0.4015)	Acc@1 100.000 (86.458)
Test: [15900/134730]	Time 0.015 (0.023)	Loss 0.1534 (0.4013)	Acc@1 100.000 (86.469)
Test: [16000/134730]	Time 0.024 (0.023)	Loss 0.1776 (0.4011)	Acc@1 100.000 (86.479)
Test: [16100/134730]	Time 0.030 (0.023)	Loss 0.1552 (0.4007)	Acc@1 100.000 (86.501)
Test: [16200/134730]	Time 0.017 (0.023)	Loss 0.1886 (0.4001)	Acc@1 100.000 (86.538)
Test: [16300/134730]	Time 0.019 (0.023)	Loss 0.2062 (0.4000)	Acc@1 100.000 (86.549)
Test: [16400/134730]	Time 0.023 (0.023)	Loss 1.8854 (0.3995)	Acc@1 0.000 (86.579)
Test: [16500/134730]	Time 0.030 (0.023)	Loss 0.2027 (0.3992)	Acc@1 100.000 (86.598)
Test: [16600/134730]	Time 0.015 (0.023)	Loss 0.1762 (0.3992)	Acc@1 100.000 (86.598)
Test: [16700/134730]	Time 0.031 (0.023)	Loss 0.1494 (0.3988)	Acc@1 100.000 (86.621)
Test: [16800/134730]	Time 0.028 (0.023)	Loss 0.1979 (0.3988)	Acc@1 100.000 (86.624)
Test: [16900/134730]	Time 0.018 (0.023)	Loss 0.1708 (0.3985)	Acc@1 100.000 (86.642)
Test: [17000/134730]	Time 0.015 (0.023)	Loss 0.1980 (0.3991)	Acc@1 100.000 (86.605)
Test: [17100/134730]	Time 0.023 (0.023)	Loss 1.8182 (0.3998)	Acc@1 0.000 (86.563)
Test: [17200/134730]	Time 0.014 (0.023)	Loss 0.1993 (0.3994)	Acc@1 100.000 (86.590)
